elapsed_s,phase,ac_status,battery_error,raw_rate,discharge_w,voltage_v,cpu_busy_percent,boost_error,boost,hwinfo_error,query_ms
0.000010,baseline,0,0,-6775,6.775000,16.131000,nan,0,0,2,1.743900
0.515076,baseline,0,0,-6775,6.775000,16.131000,2.467532,0,0,2,1.427000
1.003087,baseline,0,0,-6932,6.932000,16.159000,1.699346,0,0,2,2.054500
1.506666,baseline,0,0,-6932,6.932000,16.159000,1.953125,0,0,2,1.370200
2.010766,baseline,0,0,-6869,6.869000,16.162000,1.920615,0,0,2,2.821700
2.516686,baseline,0,0,-6869,6.869000,16.162000,0.915033,0,0,2,1.281700
3.004478,baseline,0,0,-6869,6.869000,16.162000,0.792602,0,0,2,2.038200
3.507706,baseline,0,0,-6807,6.807000,16.168000,1.568627,0,0,2,1.217700
4.013006,baseline,0,0,-6807,6.807000,16.168000,1.392405,0,0,2,4.954800
4.502548,baseline,0,0,-6709,6.709000,16.166000,0.800000,0,0,2,3.425700
5.007717,baseline,0,0,-6709,6.709000,16.166000,1.690507,0,0,2,4.100600
5.510683,baseline,0,0,-6586,6.586000,16.142000,2.040816,0,0,2,2.689300
6.000240,baseline,0,0,-6586,6.586000,16.142000,1.628223,0,0,2,1.467500
6.504623,baseline,0,0,-6586,6.586000,16.142000,0.515464,0,0,2,2.239600
7.007398,baseline,0,0,-6566,6.566000,16.172000,0.906736,0,0,2,2.594100
7.510404,baseline,0,0,-6566,6.566000,16.172000,1.772152,0,0,2,1.783300
8.000135,baseline,0,0,-6566,6.566000,16.172000,1.085482,0,0,2,1.649500
8.505290,baseline,0,0,-6501,6.501000,16.172000,1.498638,0,0,2,2.166300
9.009828,baseline,0,0,-6501,6.501000,16.172000,0.615006,0,0,2,1.638700
9.513046,baseline,0,0,-6355,6.355000,16.171000,1.920615,0,0,2,2.197600
9.999965,baseline,0,0,-6355,6.355000,16.171000,2.807487,0,0,2,1.994300
10.504913,baseline,0,0,-6355,6.355000,16.171000,1.432292,0,0,2,1.168900
11.009265,baseline,0,0,-6335,6.335000,16.161000,0.774194,0,0,2,2.371600
11.508861,baseline,0,0,-6335,6.335000,16.161000,1.437908,0,0,2,1.209400
12.012284,baseline,0,0,-6312,6.312000,16.143000,1.394170,0,0,2,2.103600
12.502363,baseline,0,0,-6312,6.312000,16.143000,0.811908,0,0,2,1.381900
13.005965,baseline,0,0,-6312,6.312000,16.143000,1.040312,0,0,2,1.742200
13.510737,baseline,0,0,-6258,6.258000,16.171000,1.524778,0,0,2,2.680800
14.015494,baseline,0,0,-6258,6.258000,16.171000,1.168831,0,0,2,1.736900
14.502736,baseline,0,0,-6258,6.258000,16.171000,0.937082,0,0,2,1.694200
15.005624,baseline,0,0,-6223,6.223000,16.164000,0.903226,0,0,2,2.202600
15.508780,baseline,0,0,-6223,6.223000,16.164000,1.692708,0,0,2,1.141600
16.012939,baseline,0,0,-6178,6.178000,16.172000,1.150895,0,0,2,2.278400
16.500150,baseline,0,0,-6178,6.178000,16.172000,1.600000,0,0,2,1.279200
17.005384,baseline,0,0,-6178,6.178000,16.172000,0.905563,0,0,2,1.946500
